id,key,value,type
24944222,kn,ಯಮುನಾ,name
24944222,mr,यमुना,name
24944222,ta,யமுனை,name
24944222,waterway,river,regular
25744606,highway,tertiary,regular
25744606,oneway,yes,regular
26582635,highway,secondary,regular
26582635,name,Jawaharlal Nehru Marg,regular
26582635,oneway,yes,regular
27422249,highway,tertiary,regular
27422249,name,Rajaji Marg,regular
27422249,hi,राजाजी मार्ग,name
27422250,highway,tertiary,regular
27422250,name,Tyagaraj Marg,regular
27422250,hi,तेगारराज मार्ग,name
27422252,highway,tertiary,regular
27422252,junction,roundabout,regular
27422253,highway,tertiary,regular
27422253,junction,roundabout,regular
27422255,highway,tertiary,regular
27422255,oneway,yes,regular
28103618,highway,tertiary,regular
28103618,name,Purana Quila Road,regular
28103634,highway,tertiary,regular
28103634,name,Bhagwan Das Road,regular
28103660,highway,secondary,regular
28103660,name,Bhairon Marg,regular
28103660,oneway,yes,regular
28103691,amenity,fairgrounds,regular
28103691,name,Pragati Maidan,regular
28103691,tourism,attraction,regular
28103794,highway,secondary,regular
28103794,name,Vivekananda Road,regular
28103794,hi,विवेकानंदा रोड,name
28103817,highway,secondary,regular
28103817,name,Jawaharlal Nehru Marg,regular
28103817,oneway,yes,regular
28103822,highway,secondary,regular
28103822,name,Bahadur shah Zafar Marg,regular
28103829,highway,secondary,regular
28103829,name,Indra Prasth Marg,regular
28103829,oneway,yes,regular
28103831,highway,secondary,regular
28103831,name,Vikas Marg,regular
28103831,oneway,yes,regular
28103850,highway,residential,regular
28103850,oneway,yes,regular
28103851,highway,residential,regular
28103851,oneway,yes,regular
28103852,highway,tertiary,regular
28103852,name,Asif Ali Road,regular
28103855,highway,tertiary,regular
28103855,name,Asaf Ali Road,regular
28121194,highway,tertiary,regular
28121194,name,Janpath,regular
28121194,hi,जनपथ,name
28121194,old_name,Queensway,regular
28121207,highway,tertiary,regular
28121207,junction,roundabout,regular
28121210,highway,tertiary,regular
28121210,name,Dr. APJ Abdul Kalam Marg,regular
28121210,hi,डॉ. ए. पी. जे. अब्दुल कलाम मार्ग,name
28121210,oneway,yes,regular
28121215,highway,tertiary,regular
28121215,name,Dr. APJ Abdul Kalam Marg,regular
28121215,hi,डॉ. ए. पी. जे. अब्दुल कलाम मार्ग,name
28121215,oneway,yes,regular
28121249,highway,tertiary,regular
28121249,name,Safdarjang Road,regular
28121249,hi,सफ़दरजंग रोड,name
28121266,highway,secondary,regular
28121266,junction,roundabout,regular
28121266,oneway,yes,regular
28121291,highway,tertiary,regular
28121291,name,Akbar Road,regular
28121291,kn,ಅಕ್ಬರ್ ರಸ್ತೆ,name
28121291,oneway,yes,regular
28121297,highway,secondary,regular
28121297,name,Krishna Menon Marg,regular
28121322,highway,tertiary,regular
28121322,name,Akbar road,regular
28121322,kn,ಅಕ್ಬರ್ ರಸ್ತೆ,name
28121322,oneway,yes,regular
28121351,highway,tertiary,regular
28121351,name,Duplex Road,regular
28121355,highway,tertiary,regular
28121355,name,Dalhousie Road,regular
28121355,hi,डलहौज़ी रोड,name
28121417,highway,unclassified,regular
28121435,highway,tertiary,regular
28121435,junction,roundabout,regular
28121435,oneway,yes,regular
28121442,highway,tertiary,regular
28121513,bicycle,yes,regular
28121513,foot,yes,regular
28121513,highway,residential,regular
28121513,name,Amrita Shergil Marg,regular
28121513,en,Amrita Shergil Road,name
28121513,surface,asphalt,regular
28121518,highway,residential,regular
28121520,highway,residential,regular
28121520,name,Khan Market,regular
28121520,oneway,yes,regular
28121614,highway,residential,regular
28121614,name,Archbishop Makasons Road,regular
28121614,oneway,yes,regular
28190265,highway,secondary,regular
28190265,name,Park Street,regular
28190265,oneway,yes,regular
28190296,highway,tertiary,regular
28190296,name,Ganga Ram Hospital Road,regular
28190296,old_name,Poorvi Marg,regular
28190305,highway,secondary,regular
28190305,name,Pusa Road,regular
28190305,oneway,yes,regular
28190334,highway,secondary,regular
28190334,oneway,yes,regular
28190350,highway,secondary,regular
28190350,name,Patel Road,regular
28190350,oneway,yes,regular
28190395,highway,secondary,regular
28190395,name,Dayal chowk,regular
28190395,oneway,yes,regular
28190430,highway,tertiary,regular
28190430,name,Arya Samaj Road,regular
28190501,highway,secondary,regular
28190501,name,Vande Matram Marg,regular
28211422,highway,secondary,regular
28211422,name,Simon Bolivar Road,regular
28211431,highway,secondary,regular
